,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
25,2,2015-01-15 19:05:41,2015-01-15 19:14:05,5,1.15,-73.95227813720702,40.82399368286133,1,N,-73.95333862304686,40.81108856201172,1,7.5,1.0,0.5,1.7,0.0,0.3,11.0
26,2,2015-01-15 19:05:42,2015-01-15 19:16:18,1,1.53,-73.99112701416014,40.75008010864258,1,N,-73.98860931396483,40.73488998413086,2,9.0,1.0,0.5,0.0,0.0,0.3,10.8
27,2,2015-01-15 19:05:42,2015-01-15 19:49:07,1,18.06,-73.78657531738281,40.64412689208984,2,N,-73.98560333251953,40.7435302734375,1,52.0,0.0,0.5,6.0,5.33,0.3,64.13
28,2,2015-01-15 19:05:42,2015-01-15 19:18:33,1,1.76,-73.99366760253906,40.74144744873047,1,N,-73.99451446533203,40.757720947265625,1,10.0,1.0,0.5,2.36,0.0,0.3,14.16
29,2,2015-01-15 19:05:42,2015-01-15 19:21:40,6,5.19,-73.98529052734375,40.744083404541016,1,N,-74.00907897949219,40.704689025878906,1,17.5,1.0,0.5,3.7,0.0,0.3,23.0
30,2,2015-01-15 19:05:42,2015-01-15 19:14:23,1,1.38,-73.96977233886719,40.78561019897461,1,N,-73.95070648193358,40.774681091308594,1,7.5,1.0,0.5,1.7,0.0,0.3,11.0
31,2,2015-01-15 19:05:43,2015-01-15 19:05:44,2,0.01,0.0,0.0,5,N,0.0,0.0,1,60.0,0.0,0.0,0.0,0.0,0.3,60.3
32,2,2015-01-15 19:05:43,2015-01-15 19:17:43,2,2.23,-73.98509216308595,40.75698852539063,1,N,-73.98487854003906,40.7801513671875,1,10.0,1.0,0.5,2.2,0.0,0.3,14.0
33,2,2015-01-15 19:05:43,2015-01-15 19:15:17,1,1.56,-73.9661636352539,40.762161254882805,1,N,-73.9500503540039,40.77625274658203,1,8.0,1.0,0.5,1.8,0.0,0.3,11.6
34,2,2015-01-15 19:05:43,2015-01-15 19:15:09,5,1.57,-73.97842407226561,40.74620819091797,1,N,-73.98021697998048,40.72854232788086,1,8.0,1.0,0.5,1.8,0.0,0.3,11.6
35,2,2015-01-15 19:05:44,2015-01-15 19:17:44,1,2.92,-73.99835205078125,40.72003173828125,1,N,-73.95582580566406,40.715599060058594,1,12.5,1.0,0.5,2.7,0.0,0.3,17.0
36,1,2015-01-10 19:12:21,2015-01-10 19:31:33,1,2.9,-74.0030517578125,40.72771835327149,1,N,-73.97603607177734,40.76396942138672,2,13.5,0.0,0.5,0.0,0.0,0.3,14.3
37,1,2015-01-10 19:12:21,2015-01-10 19:46:08,1,16.4,-73.97709655761719,40.7631721496582,2,N,-73.79071044921875,40.6442756652832,1,52.0,0.0,0.5,10.0,0.0,0.3,62.8
38,2,2015-01-25 00:13:04,2015-01-25 00:13:18,1,0.02,-73.99481201171875,40.72774124145508,1,N,-73.99694061279298,40.72555923461913,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8
39,2,2015-01-25 00:13:05,2015-01-25 00:29:11,1,1.73,-73.98593902587889,40.72676467895508,1,N,-74.00654602050781,40.73786544799805,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3
40,2,2015-01-25 00:13:05,2015-01-25 00:25:43,1,2.25,-73.97998809814453,40.7432746887207,1,N,-74.00808715820312,40.73905563354492,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16
41,2,2015-01-25 00:13:05,2015-01-25 00:25:50,1,3.53,-73.98896789550781,40.7216796875,1,N,-73.97872924804686,40.76247024536133,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8
42,2,2015-01-25 00:13:06,2015-01-25 00:23:26,1,2.01,-73.94868469238281,40.7823600769043,1,N,-73.95708465576173,40.8019905090332,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96
43,2,2015-01-25 00:13:06,2015-01-25 00:24:51,1,3.37,-73.94551086425781,40.77372360229492,1,N,-73.98743438720702,40.755706787109375,1,12.5,0.5,0.5,0.0,0.0,0.3,13.8
44,2,2015-01-25 00:13:06,2015-01-25 00:22:20,1,1.35,-73.93394470214845,40.76285171508789,1,N,-73.91702270507811,40.77094650268555,1,8.0,0.5,0.5,0.7,0.0,0.3,10.0
45,2,2015-01-25 00:13:06,2015-01-25 00:18:30,1,1.18,-73.98302459716798,40.76781845092773,1,N,-73.96830749511719,40.76314926147461,1,6.0,0.5,0.5,1.8,0.0,0.3,9.1
46,2,2015-01-25 00:13:06,2015-01-25 00:21:15,5,2.05,-73.99095916748048,40.73482131958008,1,N,-73.99073028564453,40.75537109375,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76
47,2,2015-01-25 00:13:06,2015-01-25 00:34:32,1,3.05,-73.99163818359375,40.727088928222656,1,N,-73.95171356201173,40.71477890014648,1,16.5,0.5,0.5,5.34,0.0,0.3,23.14
48,2,2015-01-25 00:13:07,2015-01-25 00:27:08,4,3.06,-73.99263763427734,40.72379302978516,1,N,-73.96405029296875,40.756866455078125,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56
49,2,2015-01-25 00:13:07,2015-01-25 00:15:39,1,0.49,-73.9861602783203,40.75994873046875,1,N,-73.98360443115233,40.763938903808594,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3
50,2,2015-01-25 00:13:07,2015-01-25 00:24:59,1,2.6,-73.94847869873048,40.78247833251953,1,N,-73.9715347290039,40.800338745117195,1,11.0,0.5,0.5,1.5,0.0,0.3,13.8
51,2,2015-01-25 00:13:07,2015-01-25 00:41:19,1,6.17,-74.00163269042967,40.74093627929688,1,N,-73.91980743408203,40.74308013916016,1,24.0,0.5,0.5,2.7,0.0,0.3,28.0
52,2,2015-01-25 00:13:08,2015-01-25 00:34:57,1,3.72,-73.975341796875,40.78987884521485,1,N,-74.00504302978516,40.74119186401367,1,16.5,0.5,0.5,3.56,0.0,0.3,21.36
53,2,2015-01-25 00:13:08,2015-01-25 00:18:57,1,1.1,-73.9798812866211,40.74624633789063,1,N,-73.98766326904298,40.73267364501953,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
54,2,2015-01-25 00:13:09,2015-01-25 00:21:38,2,2.63,-73.99282836914062,40.701484680175774,1,N,-73.99290466308595,40.71997833251953,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16
55,2,2015-01-25 00:13:09,2015-01-25 00:22:51,2,2.22,-73.9925308227539,40.72446060180664,1,N,-74.01089477539062,40.70326614379882,1,9.5,0.5,0.5,2.7,0.0,0.3,13.5
56,2,2015-01-25 00:13:09,2015-01-25 00:20:30,1,1.79,-73.9556884765625,40.77246856689453,1,N,-73.97438049316406,40.75667190551758,1,8.0,0.5,0.5,2.79,0.0,0.3,12.09
57,2,2015-01-25 00:13:09,2015-01-25 00:24:28,1,1.14,-73.99311065673827,40.72428894042969,1,N,-74.0009765625,40.73522186279297,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76
58,2,2015-01-25 00:13:09,2015-01-25 01:02:40,1,10.2,-73.99761199951173,40.76224136352539,1,N,-73.90857696533203,40.69004821777344,2,39.0,0.5,0.5,0.0,0.0,0.3,40.3
59,2,2015-01-04 13:44:51,2015-01-04 13:53:27,5,1.48,-73.98635101318358,40.759376525878906,1,N,-73.99624633789062,40.74671173095703,1,7.5,0.0,0.5,1.5,0.0,0.3,9.8
60,2,2015-01-04 13:44:51,2015-01-04 13:45:03,1,0.03,-73.94451141357422,40.7945671081543,1,N,-73.9447021484375,40.79433441162109,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3
61,1,2015-01-04 13:44:52,2015-01-04 13:56:49,1,2.5,0.0,0.0,1,N,0.0,0.0,1,11.0,0.0,0.5,2.35,0.0,0.0,14.15
62,2,2015-01-04 13:44:52,2015-01-04 13:46:38,1,0.36,-73.99124908447266,40.76546096801758,1,N,-73.98753356933594,40.76840972900391,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3
63,2,2015-01-04 13:44:52,2015-01-04 13:56:58,3,3.14,-73.97794342041014,40.684871673583984,1,N,-73.99649047851561,40.72550964355469,1,12.5,0.0,0.5,2.5,0.0,0.3,15.8
64,2,2015-01-04 13:44:52,2015-01-04 13:53:17,1,1.14,-73.99095153808595,40.75080871582031,1,N,-73.97940826416014,40.741260528564446,1,7.0,0.0,0.5,1.4,0.0,0.3,9.2
65,2,2015-01-04 13:44:52,2015-01-04 14:04:23,1,8.98,-73.87100219726561,40.773792266845696,1,N,-73.96136474609375,40.7700424194336,1,27.0,0.0,0.5,0.0,5.33,0.3,33.13
66,2,2015-01-04 13:44:52,2015-01-04 13:49:03,1,0.85,0.0,0.0,1,N,0.0,0.0,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
67,1,2015-01-04 13:44:53,2015-01-04 13:49:40,2,0.7,-73.99473571777342,40.740093231201165,1,N,-73.9983139038086,40.73624420166016,2,5.0,0.0,0.5,0.0,0.0,0.0,5.8
68,1,2015-01-04 13:44:53,2015-01-04 13:51:53,3,1.5,-74.01420593261719,40.71208953857422,1,N,-74.0010986328125,40.72412872314453,2,7.5,0.0,0.5,0.0,0.0,0.0,8.3
69,2,2015-01-04 13:44:53,2015-01-04 13:55:07,2,1.26,-73.97955322265625,40.76626586914063,1,N,-73.98338317871094,40.755313873291016,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
70,2,2015-01-04 13:44:53,2015-01-04 13:51:26,1,1.56,-73.9577865600586,40.77458572387695,1,N,-73.97223663330078,40.756885528564446,1,7.0,0.0,0.5,1.0,0.0,0.3,8.8
